,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time (min),Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
423,Harper,12000000,12000000,NA,3500000.0,23-Feb-66,NA,NA,NA,NA,NA,NA,NA,NA,7.0,2395.0
424,Harriet the Spy,26570048,26570048,NA,13000000.0,10-Jul-96,PG,101.0,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,NA,45.0,5.8,2963.0
425,Le hussard sur le toit,1320043,1320043,NA,35000000.0,19-Apr-96,R,NA,Miramax,Based on Book/Short Story,Drama,Historical Fiction,NA,NA,6.9,3083.0
426,The Hustler,7600000,7600000,NA,2000000.0,25-Sep-61,NA,NA,NA,NA,NA,NA,NA,97.0,8.1,25385.0
427,Hud,10000000,10000000,NA,2500000.0,29-May-63,NA,NA,NA,NA,NA,NA,Martin Ritt,79.0,3.4,93.0
428,Hudson Hawk,17218916,17218916,NA,65000000.0,24-May-91,NA,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,Michael Lehmann,20.0,5.3,21920.0
429,Heaven's Gate,3484331,3484331,NA,44000000.0,19-Nov-80,NA,NA,NA,NA,NA,NA,Michael Cimino,NA,6.5,4649.0
430,Hav Plenty,2301777,2301777,NA,650000.0,19-Jun-98,R,NA,Miramax,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,5.6,580.0
431,House of Wax,23800000,23800000,NA,658000.0,10-Apr-53,R,NA,NA,NA,NA,NA,NA,94.0,5.4,32159.0
432,Hawaii,34562222,34562222,NA,15000000.0,10-Oct-66,NA,NA,MGM,NA,NA,NA,George Roy Hill,NA,6.4,1153.0
433,Howard the Duck,16295774,16295774,NA,30000000.0,01-Aug-86,NA,NA,Universal,Based on Comic/Graphic Novel,Action,Science Fiction,NA,16.0,4.1,16051.0
434,High Anxiety,31063038,31063038,NA,3400000.0,23-Dec-77,NA,NA,NA,NA,NA,NA,Mel Brooks,73.0,6.5,7025.0
435,Hybrid,162605,162605,NA,200000.0,10-May-02,Not Rated,NA,Indican Pictures,Based on Real Life Events,Documentary,Factual,NA,NA,2.2,380.0
436,It's a Wonderful Life,6600000,6600000,19339789.0,3180000.0,NA,NA,NA,NA,NA,NA,NA,Frank Capra,94.0,8.7,101499.0
437,The Ice Pirates,13075390,13075390,NA,9000000.0,16-Mar-84,NA,NA,MGM/UA Classics,Original Screenplay,Comedy,Science Fiction,NA,11.0,5.1,3600.0
438,Independence Day,306169255,817400878,NA,75000000.0,02-Jul-96,PG-13,145.0,20th Century Fox,Original Screenplay,Adventure,Science Fiction,Roland Emmerich,61.0,6.5,149493.0
439,The Island of Dr. Moreau,27682712,27682712,NA,40000000.0,23-Aug-96,PG-13,95.0,New Line,Based on Book/Short Story,Adventure,Science Fiction,John Frankenheimer,23.0,4.1,13770.0
440,In Her Line of Fire,884,884,NA,1000000.0,21-Apr-06,R,NA,Regent Releasing,Original Screenplay,Action,Contemporary Fiction,NA,NA,3.5,337.0
441,The Indian in the Cupboard,35627222,35627222,NA,45000000.0,14-Jul-95,PG,NA,Paramount Pictures,Based on Book/Short Story,Adventure,Kids Fiction,Frank Oz,68.0,5.7,4836.0
442,I Love You Ö Don't Touch Me!,33598,33598,NA,68000.0,20-Feb-98,NA,NA,MGM,NA,NA,NA,NA,NA,5.6,298.0
443,Illuminata,836641,836641,NA,10000000.0,06-Aug-99,R,NA,Artisan,Based on Play,Drama,Historical Fiction,NA,NA,6.1,1100.0
444,In Cold Blood,13000000,13000000,NA,3500000.0,NA,NA,NA,NA,NA,NA,NA,Richard Brooks,88.0,8.1,10562.0
445,In the Company of Men,2883661,2883661,NA,25000.0,01-Aug-97,R,NA,Sony Pictures Classics,Based on Play,Drama,Contemporary Fiction,Neil LaBute,89.0,7.2,7601.0
446,The Inkwell,8864699,8864699,NA,8000000.0,22-Apr-94,R,NA,Walt Disney Pictures,Original Screenplay,Comedy,Historical Fiction,NA,29.0,5.7,542.0
447,Invaders from Mars,4884663,4984663,NA,12000000.0,06-Jun-86,NA,NA,Cannon,Remake,Horror,Science Fiction,Tobe Hooper,27.0,5.0,1933.0
448,L'incomparable mademoiselle C.,493905,493905,NA,3400000.0,23-Apr-04,Not Rated,NA,NA,NA,NA,NA,NA,NA,6.1,66.0
449,The Island,15716828,15716828,NA,22000000.0,13-Jun-80,PG-13,138.0,Universal,Based on Book/Short Story,Adventure,Contemporary Fiction,Michael Ritchie,NA,6.9,82601.0
450,Eye See You,79161,1807990,NA,55000000.0,20-Sep-02,Not Rated,NA,NA,NA,NA,NA,NA,NA,5.1,397.0
451,In the Heat of the Night,24379978,24379978,NA,2000000.0,02-Aug-67,NA,NA,MGM,NA,NA,NA,Norman Jewison,96.0,8.1,22429.0
452,Jack,58617334,58617334,NA,45000000.0,09-Aug-96,PG-13,113.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Francis Ford Coppola,17.0,5.3,17267.0
453,Jade,9812870,9812870,NA,50000000.0,13-Oct-95,R,NA,Paramount Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,William Friedkin,16.0,4.8,5279.0
454,Jingle All the Way,60592389,129832389,NA,60000000.0,22-Nov-96,PG,89.0,20th Century Fox,Original Screenplay,Comedy,Kids Fiction,Brian Levant,16.0,4.9,22928.0
455,Dr. No,16067035,59567035,NA,1000000.0,08-May-63,NA,NA,MGM,Based on Book/Short Story,Action,NA,NA,NA,7.3,36019.0
456,The Jungle Book,44342956,44342956,NA,27000000.0,25-Dec-94,PG,NA,Walt Disney Pictures,Based on Book/Short Story,Adventure,Historical Fiction,Stephen Sommers,NA,5.8,5564.0
457,Judge Dredd,34687912,113487912,NA,85000000.0,30-Jun-95,R,NA,Walt Disney Pictures,Based on Comic/Graphic Novel,Action,Science Fiction,NA,15.0,4.9,30736.0
458,The Jerky Boys,7555256,7555256,NA,4000000.0,03-Feb-95,R,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,10.0,3.9,1481.0
459,Jefferson in Paris,2461628,2461628,NA,14000000.0,31-Mar-95,PG-13,NA,Walt Disney Pictures,Based on Real Life Events,Drama,Dramatization,James Ivory,36.0,5.6,1464.0
460,JFK,70405498,205400000,NA,40000000.0,20-Dec-91,R,NA,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Oliver Stone,83.0,8.0,59684.0
461,Journey from the Fall,635305,635305,NA,1300000.0,23-Mar-07,R,NA,Imaginasian,Original Screenplay,Drama,Historical Fiction,NA,92.0,7.2,586.0
462,Jekyll and Hyde... Together Again,3707583,3707583,NA,5000000.0,27-Aug-82,NA,NA,Universal,Based on Book/Short Story,Comedy,Science Fiction,NA,NA,5.5,486.0
463,Jumanji,100458310,262758310,NA,65000000.0,15-Dec-95,PG,NA,Sony Pictures,Based on Book/Short Story,Adventure,Fantasy,Joe Johnston,48.0,6.4,54973.0
464,The Juror,22730924,22730924,NA,44000000.0,02-Feb-96,R,120.0,Sony Pictures,Based on Book/Short Story,Thriller/Suspense,Contemporary Fiction,NA,16.0,5.3,6482.0
465,Jerusalema,7294,7294,NA,2000000.0,11-Jun-10,R,NA,Anchor Bay Entertainment,Original Screenplay,NA,Historical Fiction,NA,NA,7.9,6777.0
466,Jurassic Park,357067947,923067947,NA,63000000.0,10-Jun-93,PG-13,NA,Universal,Based on Book/Short Story,Action,Science Fiction,Steven Spielberg,87.0,7.9,151365.0
467,Johnny Suede,55000,55000,NA,500000.0,NA,NA,NA,Miramax,Original Screenplay,Drama,NA,NA,NA,5.8,1587.0
468,Jaws,260000000,470700000,NA,12000000.0,20-Jun-75,PG,NA,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,Steven Spielberg,100.0,8.3,138017.0
469,Jaws 2,102922376,208900376,NA,20000000.0,16-Jun-78,PG,NA,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,NA,56.0,5.6,18793.0
470,Jaws 4: The Revenge,15728335,15728335,NA,23000000.0,17-Jul-87,PG-13,NA,Universal,Based on Book/Short Story,Horror,Contemporary Fiction,NA,NA,2.6,15632.0
471,Kabhi Alvida Naa Kehna,3275443,32575443,NA,10750000.0,11-Aug-06,Not Rated,NA,Yash Raj Films,Original Screenplay,Drama,Contemporary Fiction,NA,67.0,5.6,4128.0
472,Kickboxer,14533681,14533681,NA,1500000.0,08-Sep-89,NA,NA,Cannon,Original Screenplay,Action,Contemporary Fiction,Mark DiSalle,NA,5.5,11692.0
473,Kids,7412216,20412216,NA,1500000.0,21-Jul-95,Not Rated,90.0,Shining Excalibur,Original Screenplay,Drama,Contemporary Fiction,NA,50.0,6.7,26122.0
474,Kingpin,25023424,32223424,NA,25000000.0,26-Jul-96,R,113.0,MGM,Original Screenplay,Comedy,Contemporary Fiction,Bobby Farrelly,51.0,6.7,28404.0
475,Kindergarten Cop,91457688,202000000,NA,26000000.0,21-Dec-90,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50.0,5.8,40433.0
476,King Kong (1933),10000000,10000000,NA,670000.0,07-Apr-33,NA,100.0,NA,NA,NA,NA,NA,NA,NA,NA
477,King Kong,52614445,90614445,NA,23000000.0,17-Dec-76,NA,NA,NA,NA,NA,NA,John Guillermin,46.0,7.6,132720.0
478,Kiss of Death,14942422,14942422,NA,40000000.0,21-Apr-95,R,NA,20th Century Fox,Remake,Drama,Contemporary Fiction,Barbet Schroeder,67.0,7.6,2374.0
479,Kingdom of the Spiders,17000000,17000000,NA,500000.0,NA,NA,NA,NA,NA,NA,NA,NA,44.0,5.7,1463.0
480,Keeping it Real: The Adventures of Greg Walloch,1358,1358,NA,100000.0,09-Nov-01,Not Rated,NA,Avatar,NA,NA,NA,NA,NA,NA,NA
481,Akira,19585,19585,NA,8000000.0,27-Apr-01,R,NA,NA,Based on Comic/Graphic Novel,Action,NA,NA,NA,7.9,39948.0
482,Krush Groove,11052713,11052713,NA,3000000.0,25-Oct-85,NA,NA,Warner Bros.,Original Screenplay,Drama,Contemporary Fiction,NA,NA,5.8,588.0
483,Krrish,1430721,32430721,NA,10000000.0,23-Jun-06,Not Rated,NA,AdLab Films,Original Screenplay,Action,Science Fiction,NA,100.0,6.1,2735.0
484,Kansas City,1353824,1353824,NA,19000000.0,16-Aug-96,R,NA,New Line,Original Screenplay,Drama,Historical Fiction,Robert Altman,58.0,6.0,2397.0
485,The Last Emperor,43984000,43984000,NA,25000000.0,20-Nov-87,NA,NA,Sony/Columbia,Based on Book/Short Story,Drama,Dramatization,Bernardo Bertolucci,91.0,7.9,24262.0
486,Last Action Hero,50016394,137298489,NA,85000000.0,18-Jun-93,NA,NA,Sony Pictures,Original Screenplay,Action,Fantasy,John McTiernan,38.0,5.9,43171.0
487,Live and Let Die,35400000,161800000,NA,7000000.0,27-Jun-73,NA,NA,MGM,Based on Book/Short Story,Action,NA,Guy Hamilton,64.0,6.8,24044.0
488,Lage Raho Munnabhai,2217561,31517561,NA,2700000.0,01-Sep-06,Not Rated,NA,Eros Entertainment,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,7.8,5236.0
489,The Last Waltz,321952,321952,NA,35000.0,05-Apr-02,Not Rated,NA,MGM,NA,NA,NA,NA,NA,8.0,6893.0
490,The Last Big Thing,22434,22434,NA,1000000.0,25-Sep-98,R,NA,Stratosphere Entertainment,NA,NA,NA,NA,NA,6.0,139.0
491,The Land Before Time,48092846,81972846,NA,12300000.0,18-Nov-88,NA,NA,Universal,Original Screenplay,Adventure,Historical Fiction,Don Bluth,71.0,6.9,14017.0
492,The Longest Day,39100000,50100000,NA,10000000.0,04-Oct-62,NA,NA,20th Century Fox,Based on Real Life Events,Action,Dramatization,NA,92.0,7.8,17712.0
493,The Living Daylights,51185000,191200000,NA,40000000.0,31-Jul-87,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,73.0,6.7,23735.0
494,Aladdin,217350219,504050219,NA,28000000.0,11-Nov-92,G,NA,Walt Disney Pictures,Original Screenplay,Comedy,Fantasy,NA,NA,7.8,69090.0
495,A Low Down Dirty Shame,29317886,29317886,NA,10000000.0,23-Nov-94,R,NA,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Keenen Ivory Wayans,NA,5.4,1847.0
496,Love and Death on Long Island,2542264,2542264,NA,4030000.0,06-Mar-98,PG-13,NA,Lionsgate,Based on Book/Short Story,Drama,Contemporary Fiction,NA,NA,6.9,2506.0
497,Ladyhawke,18400000,18400000,NA,20000000.0,12-Apr-85,NA,NA,Warner Bros.,Original Screenplay,Action,Fantasy,Richard Donner,63.0,6.7,15260.0
498,Nikita,5017971,5017971,NA,7000000.0,08-Mar-91,NA,NA,Goldwyn Entertainment,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Luc Besson,NA,7.5,24872.0
499,Lion of the Desert,1500000,1500000,NA,35000000.0,NA,NA,NA,United Film Distribution Co.,NA,NA,NA,NA,NA,7.8,2659.0
500,Legal Eagles,49851591,49851591,NA,40000000.0,18-Jun-86,NA,NA,Universal,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,50.0,5.6,4471.0
501,Legend,15502112,15502112,NA,25000000.0,18-Apr-86,NA,NA,Universal,Original Screenplay,Adventure,Fantasy,Ridley Scott,NA,6.1,20734.0
502,The Last House on the Left,3100000,3100000,NA,87000.0,30-Aug-72,R,NA,NA,NA,NA,NA,NA,63.0,6.7,22141.0
503,Lifeforce,11603545,11603545,NA,25000000.0,21-Jun-85,NA,NA,Sony/TriStar,Based on Book/Short Story,Horror,Science Fiction,Tobe Hooper,57.0,5.8,5727.0
504,Lady in White,1705139,1705139,NA,4700000.0,22-Apr-88,NA,NA,New Century Vista Film Company,Original Screenplay,Horror,Fantasy,NA,73.0,6.6,2221.0
505,The Long Kiss Goodnight,33447612,33447612,NA,65000000.0,11-Oct-96,R,120.0,New Line,Original Screenplay,Action,Contemporary Fiction,Renny Harlin,69.0,6.6,28257.0
506,Lake of Fire,25317,25317,NA,6000000.0,03-Oct-07,Not Rated,NA,ThinkFilm,Based on Real Life Events,Documentary,Factual,NA,NA,8.4,1027.0
507,Elling,313436,313436,NA,2100000.0,29-May-02,R,NA,NA,NA,NA,NA,NA,NA,7.5,7114.0
508,Lolita (1962),9250000,9250000,NA,2000000.0,01-Jan-62,NA,NA,NA,NA,Drama,NA,Stanley Kubrick,NA,NA,NA
509,Elmer Gantry,10400000,10400000,NA,3000000.0,NA,NA,NA,NA,NA,NA,NA,Richard Brooks,96.0,7.8,4185.0
510,El Mariachi,2040920,2040920,NA,7000.0,26-Feb-93,NA,NA,Sony/Columbia,Original Screenplay,Action,NA,Robert Rodriguez,NA,7.0,19668.0
511,Last Man Standing,18115927,18115927,NA,67000000.0,20-Sep-96,R,100.0,New Line,Original Screenplay,Action,Historical Fiction,Walter Hill,NA,NA,NA
512,Aliens,85160248,183316455,NA,17000000.0,18-Jul-86,R,137.0,20th Century Fox,Original Screenplay,Action,Science Fiction,James Cameron,100.0,7.5,84.0
513,Alien³,54927174,158500000,NA,55000000.0,22-May-92,R,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,David Fincher,37.0,6.3,78860.0
514,The Lion King,328539505,783839505,NA,79300000.0,15-Jun-94,G,NA,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Rob Minkoff,92.0,8.2,136503.0
515,Love and Death,20123742,20123742,NA,3000000.0,10-Jun-75,NA,NA,MGM,Original Screenplay,Comedy,NA,Woody Allen,100.0,7.6,12111.0
516,Love and Other Catastrophes,212285,743216,NA,250000.0,28-Mar-97,R,NA,Fox Searchlight,NA,Comedy,NA,NA,NA,5.7,1406.0
517,Love Letters,5269990,5269990,NA,550000.0,27-Apr-84,PG-13,NA,New World,Original Screenplay,Thriller/Suspense,Contemporary Fiction,NA,NA,7.3,477.0
518,The Legend of the Lone Ranger,13400000,13400000,NA,18000000.0,22-May-81,NA,NA,Universal,Remake,Western,Historical Fiction,NA,NA,4.6,755.0
519,The Last of the Mohicans,72455275,72455275,NA,40000000.0,25-Sep-92,NA,NA,20th Century Fox,Based on Book/Short Story,Action,Historical Fiction,Michael Mann,97.0,7.8,45410.0
520,Love Me Tender,9000000,9000000,NA,1000000.0,NA,NA,NA,NA,NA,NA,NA,NA,38.0,5.9,1301.0
521,The Long Riders,15198912,15198912,NA,10000000.0,16-May-80,NA,NA,United Artists,Original Screenplay,Action,Historical Fiction,Walter Hill,79.0,7.1,3791.0
522,Losin' It,1246141,1246141,NA,7000000.0,08-Apr-83,NA,NA,NA,NA,NA,NA,NA,NA,4.6,1668.0
523,The Loss of Sexual Innocence,399793,399793,NA,4000000.0,28-May-99,NA,NA,Sony Pictures,NA,NA,NA,Mike Figgis,45.0,4.9,2263.0
524,Legends of the Fall,66502573,66502573,NA,30000000.0,23-Dec-94,R,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Edward Zwick,63.0,7.1,39815.0
525,A League of Their Own,107533925,132440066,NA,40000000.0,01-Jul-92,NA,NA,Sony Pictures,Original Screenplay,Comedy,Historical Fiction,Penny Marshall,81.0,6.9,33426.0
526,Loaded Weapon 1,27979399,27979399,NA,13000000.0,05-Feb-93,PG-13,NA,New Line,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,5.7,17637.0
527,The Lost Weekend,11000000,11000000,NA,1250000.0,NA,NA,NA,NA,NA,NA,NA,Billy Wilder,100.0,8.2,11864.0
528,Le petit Nicolas,201857,52339566,NA,30000000.0,19-Feb-10,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1505.0
529,Logan's Run,25000000,25000000,NA,7000000.0,NA,NA,NA,NA,NA,NA,Science Fiction,NA,70.0,6.7,14947.0
530,Betty Fisher et autres histoires,206400,206400,NA,7500000.0,13-Sep-02,Not Rated,NA,WellSpring,Based on Book/Short Story,Drama,NA,NA,NA,6.9,1054.0
531,Light Sleeper,1050861,1050861,NA,5000000.0,21-Sep-92,NA,NA,NA,NA,NA,NA,NA,94.0,6.7,1986.0
532,Little Shop of Horrors,38747385,38747385,NA,30000000.0,19-Dec-86,NA,NA,Warner Bros.,Remake,Musical,Fantasy,Frank Oz,91.0,6.6,21521.0
533,Lone Star,12961389,12961389,NA,5000000.0,21-Jun-96,R,NA,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,John Sayles,92.0,7.6,14599.0
534,Latter Days,833118,833118,NA,850000.0,30-Jan-04,R,NA,TLA Releasing,NA,Drama,Contemporary Fiction,NA,NA,7.4,7157.0
535,Lethal Weapon,65192350,120192350,NA,15000000.0,06-Mar-87,NA,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,90.0,7.6,54994.0
536,Lethal Weapon 3,144731527,319700000,NA,35000000.0,15-May-92,R,NA,Warner Bros.,Original Screenplay,Action,Contemporary Fiction,Richard Donner,56.0,6.5,39735.0
537,The Last Time I Committed Suicide,12836,12836,NA,4000000.0,20-Jun-97,R,NA,Roxie Releasing,NA,NA,NA,NA,NA,5.7,1181.0
538,Little Voice,4595000,4595000,NA,6000000.0,04-Dec-98,R,NA,Miramax,Based on Play,Musical,Contemporary Fiction,NA,83.0,6.9,8453.0
539,The Last Temptation of Christ,8373585,8373585,NA,7000000.0,12-Aug-88,NA,NA,Universal,Based on Book/Short Story,Drama,Historical Fiction,Martin Scorsese,83.0,7.5,20934.0
540,License to Kill,34667015,156167015,NA,42000000.0,14-Jul-89,NA,NA,MGM,Based on Book/Short Story,Action,Contemporary Fiction,John Glen,NA,6.5,24558.0
541,Cama adentro,200433,200433,NA,800000.0,18-Jul-07,Not Rated,NA,Film Sales Company,Original Screenplay,Drama,Historical Fiction,NA,NA,7.2,466.0
542,Leaving Las Vegas,31983777,49800000,NA,4000000.0,27-Oct-95,R,NA,MGM,Based on Book/Short Story,Drama,Contemporary Fiction,Mike Figgis,89.0,7.6,42131.0
543,The Lawnmower Man,32100816,32100816,NA,10000000.0,06-Mar-92,NA,NA,New Line,Original Screenplay,Action,Science Fiction,NA,47.0,5.1,12607.0
544,Lone Wolf McQuade,12232628,12232628,NA,5000000.0,15-Apr-83,NA,NA,Orion Pictures,Original Screenplay,Action,Contemporary Fiction,NA,NA,5.8,2917.0
545,Little Women,50003303,50003303,NA,15000000.0,21-Dec-94,PG,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,NA,89.0,7.1,16514.0
546,Lawrence of Arabia,37495385,69995385,NA,15000000.0,16-Dec-62,NA,NA,Sony Pictures,Based on Book/Short Story,Adventure,Dramatization,David Lean,98.0,8.6,79421.0
547,Menace II Society,27731527,27731527,NA,3500000.0,26-May-93,R,NA,New Line,Original Screenplay,Action,Contemporary Fiction,Albert Hughes,85.0,7.4,14807.0
548,Much Ado About Nothing,22549338,22549338,NA,8000000.0,07-May-93,NA,NA,Goldwyn Entertainment,Based on Play,Drama,Historical Fiction,Kenneth Branagh,90.0,7.4,22470.0
549,Major Dundee,14873,14873,NA,3800000.0,07-Apr-65,PG-13,NA,Sony Pictures,Based on Book/Short Story,Western,Historical Fiction,NA,97.0,6.7,2588.0
550,Mata Hari,900000,900000,NA,558000.0,NA,NA,NA,MGM,NA,NA,NA,NA,NA,2.2,376.0
551,Malcolm X,48169910,48169910,NA,35000000.0,18-Nov-92,NA,NA,Warner Bros.,Based on Book/Short Story,Drama,Dramatization,Spike Lee,90.0,7.7,23062.0
552,Maniac,10000000,10000000,NA,350000.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,3281.0
553,Mary Poppins,102300000,102300000,NA,6000000.0,26-Aug-64,NA,NA,NA,NA,Musical,NA,NA,100.0,7.7,34302.0
554,Mary Reilly,5707094,6370115,NA,47000000.0,23-Feb-96,R,NA,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Stephen Frears,27.0,5.5,6864.0
555,Maximum Risk,14102929,51702929,NA,25000000.0,13-Sep-96,R,NA,Sony Pictures,Original Screenplay,Action,Contemporary Fiction,NA,29.0,4.9,7064.0
556,M*A*S*H,81600000,81600000,NA,3500000.0,01-Jan-70,R,NA,NA,NA,NA,NA,Robert Altman,NA,8.6,8043.0
557,The Mask,119920129,343900000,NA,18000000.0,29-Jul-94,PG-13,NA,New Line,Based on Comic/Graphic Novel,Comedy,Fantasy,Chuck Russell,75.0,6.6,72981.0
558,Mars Attacks!,37771017,101371017,NA,80000000.0,13-Dec-96,PG-13,110.0,Warner Bros.,Original Screenplay,Comedy,Science Fiction,Tim Burton,50.0,6.3,76396.0
559,Mo' Better Blues,16153000,16153000,NA,10000000.0,03-Aug-90,NA,NA,Universal,Original Screenplay,Drama,Contemporary Fiction,Spike Lee,72.0,6.3,4210.0
560,Moby Dick,10400000,10400000,NA,4500000.0,NA,NA,NA,NA,Based on Book/Short Story,Adventure,Historical Fiction,John Huston,67.0,7.4,5969.0
561,Michael Jordan to the MAX,18642318,18642318,NA,7000000.0,05-May-00,Not Rated,46.0,Giant Screen Films,Based on Real Life Events,Documentary,Factual,NA,64.0,7.2,746.0
562,Michael Collins,11092559,27572844,NA,25000000.0,11-Oct-96,R,NA,Warner Bros.,Based on Real Life Events,Drama,Dramatization,Neil Jordan,77.0,6.9,11805.0
563,My Cousin Vinny,52929168,52929168,NA,11000000.0,13-Mar-92,NA,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,86.0,7.3,30524.0
564,Medicine Man,44948240,44948240,NA,40000000.0,07-Feb-92,NA,87.0,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,John McTiernan,22.0,5.7,9307.0
565,Madadayo,48856,48856,NA,11900000.0,20-Mar-98,NA,NA,WinStar Cinema,Based on Real Life Events,Drama,Dramatization,Akira Kurosawa,NA,7.4,1748.0
566,Modern Problems,24474312,24474312,NA,8000000.0,25-Dec-81,NA,NA,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,NA,NA,4.5,2144.0
567,Amadeus,51973029,51973029,NA,18000000.0,19-Sep-84,R,NA,Warner Bros.,Based on Play,Drama,Dramatization,Milos Forman,96.0,8.4,96997.0
568,Modern Times,163245,163245,NA,1500000.0,05-Feb-36,NA,NA,Kino International,NA,Comedy,NA,NA,100.0,8.5,35773.0
569,The Mighty Ducks,50752337,50752337,NA,10000000.0,02-Oct-92,PG,NA,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,Stephen Herek,8.0,5.9,15479.0
570,A Man for All Seasons,28350000,28350000,NA,3900000.0,12-Dec-66,NA,NA,Sony Pictures,NA,NA,NA,Fred Zinnemann,85.0,8.1,12460.0
571,Megaforce,5675599,5675599,NA,18000000.0,25-Jun-82,NA,NA,20th Century Fox,Original Screenplay,Action,Science Fiction,Hal Needham,NA,2.5,1446.0
572,The Mirror Has Two Faces,41267469,41267469,NA,42000000.0,15-Nov-96,PG-13,127.0,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Barbra Streisand,54.0,6.0,6055.0
573,Midnight Cowboy,44785053,44785053,NA,3600000.0,25-May-69,R,NA,MGM,NA,NA,NA,John Schlesinger,90.0,8.0,34053.0
574,Midnight Run,38413606,81613606,NA,30000000.0,20-Jul-88,NA,NA,Universal,Original Screenplay,Action,Contemporary Fiction,Martin Brest,96.0,7.5,24104.0
575,Major League,49793054,49793054,NA,11000000.0,07-Apr-89,NA,NA,Paramount Pictures,Original Screenplay,Comedy,Contemporary Fiction,NA,84.0,6.9,20798.0
576,The Molly Maguires,2200000,2200000,NA,11000000.0,NA,PG,NA,NA,NA,NA,NA,Martin Ritt,89.0,6.8,1304.0
577,Malevolence,126021,257516,NA,200000.0,10-Sep-04,R,NA,Painted Zebra Releasing,Original Screenplay,Horror,NA,NA,31.0,5.0,248.0
578,Mad Max 2: The Road Warrior,24600832,24600832,NA,2000000.0,21-May-82,NA,NA,Warner Bros.,NA,Action,Science Fiction,George Miller,NA,NA,NA
579,It's a Mad Mad Mad Mad World,46300000,60000000,NA,9400000.0,07-Nov-63,NA,NA,NA,NA,NA,NA,NA,NA,7.5,14460.0
580,Mad Max,8750000,99750000,NA,200000.0,21-Mar-80,NA,NA,NA,NA,Action,Science Fiction,George Miller,NA,6.9,36548.0
581,Mad Max Beyond Thunderdome,36230219,36230219,NA,10000000.0,10-Jul-85,NA,NA,Warner Bros.,NA,Action,Science Fiction,George Miller,NA,5.9,24273.0
582,The Man From Snowy River,20659423,20659423,NA,5000000.0,03-Nov-82,NA,NA,20th Century Fox,Original Screenplay,Drama,Historical Fiction,George Miller,80.0,7.0,3101.0
583,Monty Python and the Holy Grail,3427696,5028948,NA,400000.0,10-May-75,NA,NA,NA,NA,NA,NA,NA,NA,8.4,155049.0
584,Men with Brooms,4239767,4239767,NA,7500000.0,08-Mar-02,R,NA,Artisan,Original Screenplay,Comedy,Contemporary Fiction,NA,63.0,5.8,2559.0
585,Mutiny on The Bounty,13680000,13680000,NA,19000000.0,08-Nov-62,NA,NA,MGM,NA,NA,NA,NA,69.0,7.9,7608.0
586,Mommie Dearest,19032000,25032000,NA,5000000.0,18-Sep-81,NA,NA,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Frank Perry,57.0,6.3,4905.0
587,March or Die,1000000,1000000,NA,7000000.0,05-Aug-77,NA,NA,Sony Pictures,NA,NA,NA,NA,NA,6.1,1233.0
588,Memoirs of an Invisible Man,14358033,14358033,NA,40000000.0,28-Feb-92,NA,NA,Warner Bros.,Based on Book/Short Story,Comedy,Science Fiction,John Carpenter,24.0,5.8,8522.0
589,The Mongol King,900,900,NA,7000.0,NA,Not Rated,NA,NA,Original Screenplay,Drama,NA,NA,NA,NA,NA
